Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

abandoned_house_01,POI,POIName,,x,Residencia MeMaw,,,,,,,,,,,,,
abandoned_house_02,POI,POIName,,x,Residencia Jack & Sally's,,,,,,,,,,,,,
abandoned_house_03,POI,POIName,,x,Cabañas Luke's,,,,,,,,,,,,,
abandoned_house_04,POI,POIName,,x,Residencia Mimzy,,,,,,,,,,,,,
abandoned_house_05,POI,POIName,,x,Residencia Papaw,,,,,,,,,,,,,
abandoned_house_06,POI,POIName,,x,Casa Segura Sal's,,,,,,,,,,,,,
abandoned_house_07,POI,POIName,,x,Residencia Clement,,,,,,,,,,,,,
abandoned_house_08,POI,POIName,,x,Residencia Rupert,,,,,,,,,,,,,
abandoned_house_09,POI,POIName,,x,El Retiro de Dickens,,,,,,,,,,,,,
abandoned_house_10,POI,POIName,,x,Residencia K. Reeves,,,,,,,,,,,,,
apartments_01,POI,POIName,,x,Apartamentos Buena Vida,,,,,,,,,,,,,
apartments_02,POI,POIName,,x,Torre del Tocador,,,,,,,,,,,,,
apartments_03,POI,POIName,,x,Apartamentos Bend,,,,,,,,,,,,,
apartments_04,POI,POIName,,x,Presupuesto Burrows,,,,,,,,,,,,,
apartments_05,POI,POIName,,x,Apartamentos Slummit,,,,,,,,,,,,,
apartments_06,POI,POIName,,x,Torre de Dos Bits,,,,,,,,,,,,,
army_camp_01,POI,POIName,,x,Fuerte Camo,,,,,,,,,,,,,
army_camp_02,POI,POIName,,x,Fuerte Bags,,,,,,,,,,,,,
army_camp_03,POI,POIName,,x,Fuerte Quonset,,,,,,,,,,,,,
army_camp_04,POI,POIName,,x,Fuerte Razor,,,,,,,,,,,,,
army_camp_05,POI,POIName,,x,Fuerte Choppa,,,,,,,,,,,,,
army_camp_06,POI,POIName,,x,Estación Goldrush,,,,,,,,,,,,,
army_camp_07,POI,POIName,,x,Instalación Blue Ridge,,,,,,,,,,,,,
auto_mechanic_01,POI,POIName,,x,Mecánica A1,,,,,,,,,,,,,
bank_01,POI,POIName,,x,Banco Piggy,,,,,,,,,,,,,
bank_02,POI,POIName,,x,Banco Seemore,,,,,,,,,,,,,
bar_01,POI,POIName,,x,Bar Buzz's,,,,,,,,,,,,,
barn_01,POI,POIName,,x,Campos de Heno,,,,,,,,,,,,,
barn_02,POI,POIName,,x,El Granero de Mason's,,,,,,,,,,,,,
barn_03,POI,POIName,,x,Granero del Jabalí,,,,,,,,,,,,,
base_military_01,POI,POIName,,x,Puesto del Ejercito U.S. #7,,,,,,,,,,,,,
body_shop_01,POI,POIName,,x,Centro de Colisiones,,,,,,,,,,,,,
bombshelter_01,POI,POIName,,x,Salvamento Bart's,,,,,,,,,,,,,
bombshelter_02,POI,POIName,,x,Escondite Hexagonal,,,,,,,,,,,,,
bowling_alley_01,POI,POIName,,x,Bolos Pineballs,,,,,,,,,,,,,
bowling_alley_02,POI,POIName,,x,Bolos Ballzstrike,,,,,,,,,,,,,
business_burnt_01,POI,POIName,,x,Avena O'malley,,,,,,,,,,,,,
business_burnt_02,POI,POIName,,x,Cremería Navezgane,,,,,,,,,,,,,
cabin_01,POI,POIName,,x,Cabaña de Willy's,,,,,,,,,,,,,
cabin_02,POI,POIName,,x,Residencia Marvin's,,,,,,,,,,,,,
cabin_03,POI,POIName,,x,Residencia Harrison,,,,,,,,,,,,,
cabin_04,POI,POIName,,x,Residencia Wilbur's,,,,,,,,,,,,,
cabin_05,POI,POIName,,x,Choza Shawn's,,,,,,,,,,,,,
cabin_06,POI,POIName,,x,Choza Roberts Tack,,,,,,,,,,,,,
cabin_07,POI,POIName,,x,Residencia TJ Morales,,,,,,,,,,,,,
cabin_08,POI,POIName,,x,Cabaña de la Familia Johnson,,,,,,,,,,,,,
cabin_09,POI,POIName,,x,Casa de Skeeter,,,,,,,,,,,,,
cabin_10,POI,POIName,,x,Cabaña Knowbly,,,,,,,,,,,,,
cabin_11,POI,POIName,,x,Cabaña Nueva Esperanza de Vida,,,,,,,,,,,,,
cabin_12,POI,POIName,,x,Cabaña Allistair's,,,,,,,,,,,,,
cabin_13,POI,POIName,,x,Residencia Gladue,,,,,,,,,,,,,
cabin_14,POI,POIName,,x,Cabaña Burns,,,,,,,,,,,,,
cabin_15,POI,POIName,,x,Residencia Presley,,,,,,,,,,,,,
cabin_16,POI,POIName,,x,El Hacha Rota,,,,,,,,,,,,,
cabin_17,POI,POIName,,x,Residencia Engall's,,,,,,,,,,,,,
cabin_18,POI,POIName,,x,Nuestros Mejores Momentos,,,,,,,,,,,,,
cabin_20,POI,POIName,,x,Albergue Pozo de Fuego,,,,,,,,,,,,,
canyon_cliff_dwellings,POI,POIName,,x,Residencias del Cañon Cliff,,,,,,,,,,,,,
canyon_gift_shop,POI,POIName,,x,Restaurante y Tienda de Regalos del Cañon,,,,,,,,,,,,,
canyon_mine,POI,POIName,,x,Mina del Cañon,,,,,,,,,,,,,
carlot_01,POI,POIName,,x,Joey's Carlot,,,,,,,,,,,,,
carlot_02,POI,POIName,,x,Vehiculos Carl's,,,,,,,,,,,,,
cave_01,POI,POIName,,x,Barranco Steer,,,,,,,,,,,,,
cave_02,POI,POIName,,x,El Escondite de Pete's,,,,,,,,,,,,,
cave_03,POI,POIName,,x,Compañia Minera de Setas,,,,,,,,,,,,,
cave_04,POI,POIName,,x,Cueva del Vagabundo,,,,,,,,,,,,,
cave_05,POI,POIName,,x,Cueva del Monte,,,,,,,,,,,,,
cave_07,POI,POIName,,x,Cueva Podrida,,,,,,,,,,,,,
cave_09,POI,POIName,,x,Cueva de Arañas,,,,,,,,,,,,,
cemetery_01,POI,POIName,,x,Mausoleos,,,,,,,,,,,,,
cemetery_02,POI,POIName,,x,Criptas,,,,,,,,,,,,,
church_01,POI,POIName,,x,Catedral de San Moe,,,,,,,,,,,,,
church_02,POI,POIName,,x,Vieja Iglesia Espeluznante,,,,,,,,,,,,,
church_sm_01,POI,POIName,,x,Iglesia Navezgane,,,,,,,,,,,,,
city_center_01,POI,POIName,,x,Publicidad Olgiddy & Brother,,,,,,,,,,,,,
commercial_strip_01,POI,POIName,,x,Tienda Shady Square,,,,,,,,,,,,,
commercial_strip_02,POI,POIName,,x,Terraza de las Golosinas,,,,,,,,,,,,,
commercial_strip_03,POI,POIName,,x,Vick Garrison's Pedipawn,,,,,,,,,,,,,
commercial_strip_04,POI,POIName,,x,Plaza Smorgasbord,,,,,,,,,,,,,
commercial_strip_05,POI,POIName,,x,Emporio Elzner,,,,,,,,,,,,,
commercial_strip_07,POI,POIName,,x,Esenciales de Élite,,,,,,,,,,,,,
country_junkyard_01,POI,POIName,,x,Pepinillo,,,,,,,,,,,,,
country_junkyard_02,POI,POIName,,x,Compañía Metalúrgica Atlas,,,,,,,,,,,,,
countrytown_business_01,POI,POIName,,x,Grandes Panecillos,,,,,,,,,,,,,
countrytown_business_02,POI,POIName,,x,Aparato Federal,,,,,,,,,,,,,
countrytown_business_03,POI,POIName,,x,La Guarida del Oso,,,,,,,,,,,,,
countrytown_business_04,POI,POIName,,x,Gabinete Aldos,,,,,,,,,,,,,
countrytown_business_05,POI,POIName,,x,Carniceria Pete's,,,,,,,,,,,,,
countrytown_business_06,POI,POIName,,x,Rubíes Rojos,,,,,,,,,,,,,
countrytown_business_07,POI,POIName,,x,Cafetería Maggie's,,,,,,,,,,,,,
countrytown_business_08,POI,POIName,,x,Campamento Guardabosques,,,,,,,,,,,,,
countrytown_business_09,POI,POIName,,x,Vídeos Para Siempre,,,,,,,,,,,,,
countrytown_business_10,POI,POIName,,x,Bar Bobcats,,,,,,,,,,,,,
countrytown_business_11,POI,POIName,,x,Clínica Midway,,,,,,,,,,,,,
countrytown_business_12,POI,POIName,,x,Balas y Alcohol Jim & Tim's,,,,,,,,,,,,,
countrytown_business_13,POI,POIName,,x,El Gallo Muerto,,,,,,,,,,,,,
countrytown_business_14,POI,POIName,,x,Discoteca Grumpy,,,,,,,,,,,,,
courthouse_med_01,POI,POIName,,x,Ayuntamiento,,,,,,,,,,,,,
departure_city_blk_01,POI,POIName,,x,Salida,,,,,,,,,,,,,
departure_city_blk_plaza,POI,POIName,,x,Plaza de la Salida,,,,,,,,,,,,,
diersville_city_blk_01,POI,POIName,,x,Ciudad de Diers,,,,,,,,,,,,,
diersville_city_blk_02,POI,POIName,,x,Ciudad de Diers,,,,,,,,,,,,,
diersville_city_sign_01,POI,POIName,,x,Ciudad de Diers,,,,,,,,,,,,,
diner_01,POI,POIName,,x,La Cuchara Grasosa,,,,,,,,,,,,,
diner_02,POI,POIName,,x,Cafetería Bob,,,,,,,,,,,,,
diner_03,POI,POIName,,x,Cafetería Del,,,,,,,,,,,,,
diner_04,POI,POIName,,x,Restaurante Dick,,,,,,,,,,,,,
diner_07,POI,POIName,,x,Restaurante Navezgane,,,,,,,,,,,,,
docks_01,POI,POIName,,x,Muelle de Gas BJ,,,,,,,,,,,,,
docks_02,POI,POIName,,x,Puerto de Pescadores Pal,,,,,,,,,,,,,
docks_03,POI,POIName,,x,Transportes Haulwell,,,,,,,,,,,,,
docks_04,POI,POIName,,x,Muelles Intermedios,,,,,,,,,,,,,
docks_05,POI,POIName,,x,Muelle del Cebo Vivo,,,,,,,,,,,,,
downtown_building_01,POI,POIName,,x,Apartamentos Buy-N-Go,,,,,,,,,,,,,
downtown_building_02,POI,POIName,,x,Apartamentos Pergola,,,,,,,,,,,,,
downtown_building_03,POI,POIName,,x,Torre Stand,,,,,,,,,,,,,
downtown_building_04,POI,POIName,,x,Oficinas Blaze & Burns,,,,,,,,,,,,,
downtown_building_05,POI,POIName,,x,Gasolinera News,,,,,,,,,,,,,
downtown_business_06,POI,POIName,,x,Especial Totz,,,,,,,,,,,,,
downtown_business_07,POI,POIName,,x,Doggi's,,,,,,,,,,,,,
downtown_filler_01,POI,POIName,,x,Gimnasio para Flojos,,,,,,,,,,,,,
downtown_filler_02,POI,POIName,,x,El Azote,,,,,,,,,,,,,
downtown_filler_03,POI,POIName,,x,Ley Schittz,,,,,,,,,,,,,
downtown_filler_05,POI,POIName,,x,Suites Trilogía,,,,,,,,,,,,,
downtown_filler_06,POI,POIName,,x,Apartamentos del Bajo Mundo,,,,,,,,,,,,,
downtown_filler_07,POI,POIName,,x,Clínica Dumpsy,,,,,,,,,,,,,
downtown_filler_09,POI,POIName,,x,Almacén Century,,,,,,,,,,,,,
downtown_filler_11,POI,POIName,,x,Caja de Ajustes,,,,,,,,,,,,,
downtown_filler_12,POI,POIName,,x,Apartamentos Plaza de la Ciudad,,,,,,,,,,,,,
downtown_filler_13,POI,POIName,,x,Pizzería Luigi's,,,,,,,,,,,,,
